bioguide_id,state,party,full_name,url,twitter,twitter_id,facebook,id.bioguide,social.twitter,social.facebook,social.youtube_id,social.twitter_id,social.youtube,social.instagram,social.instagram_id
B001230,WI,Democrat,Tammy Baldwin,https://www.baldwin.senate.gov,SenatorBaldwin,1074518754.0,senatortammybaldwin,B001230,SenatorBaldwin,senatortammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,1074518754,witammybaldwin,senatorbaldwin,
B001267,CO,Democrat,Michael F. Bennet,https://www.bennet.senate.gov,SenatorBennet,224285242.0,senbennetco,B001267,SenatorBennet,senbennetco,UCXB3cljpMwTyCUyLr2ZVLow,224285242,SenatorBennet,SenBennetCO,
B001257,FL,Republican,Gus M. Bilirakis,https://bilirakis.house.gov,RepGusBilirakis,26051676.0,GusBilirakis,B001257,RepGusBilirakis,GusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,26051676,RepGusBilirakis,gusbilirakis,
B000490,GA,Democrat,"Sanford D. Bishop, Jr.",https://bishop.house.gov,SanfordBishop,249410485.0,sanfordbishop,B000490,SanfordBishop,sanfordbishop,UCxF9veLBrkr_CqVq5eFYVGg,249410485,RepSanfordBishop,,
B001243,TN,Republican,Marsha Blackburn,https://www.blackburn.senate.gov,MarshaBlackburn,278145569.0,marshablackburn,B001243,MarshaBlackburn,marshablackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,278145569,RepMarshaBlackburn,marshablackburn,
B001277,CT,Democrat,Richard Blumenthal,https://www.blumenthal.senate.gov,SenBlumenthal,278124059.0,SenBlumenthal,B001277,SenBlumenthal,SenBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,278124059,SenatorBlumenthal,senblumenthal,
B001236,AR,Republican,John Boozman,https://www.boozman.senate.gov/public,JohnBoozman,5558312.0,JohnBoozman,B001236,JohnBoozman,JohnBoozman,UC9vWHKL5OfIYh6kIV0rF2yw,5558312,BoozmanPressOffice,johnboozman,
B001260,FL,Republican,Vern Buchanan,https://buchanan.house.gov,VernBuchanan,20467163.0,CongressmanBuchanan,B001260,VernBuchanan,CongressmanBuchanan,UCY4DEy41NxOTdcF8_XAVZvw,20467163,vernbuchanan,repvern,344865327.0
C000059,CA,Republican,Ken Calvert,https://calvert.house.gov,KenCalvert,22545491.0,70063393423,C000059,KenCalvert,70063393423,UC5MEj7YOX_QdKoqD_HRxP3A,22545491,RepKenCalvert,repkencalvert,
C001047,WV,Republican,Shelley Moore Capito,https://www.capito.senate.gov,SenCapito,193794406.0,senshelley,C001047,SenCapito,senshelley,UCbiXdR4XQ3vD9Xp5lfR9QXw,193794406,,sencapito,1640447624.0
C001072,IN,Democrat,André Carson,https://carson.house.gov,RepAndreCarson,199325935.0,CongressmanAndreCarson,C001072,RepAndreCarson,CongressmanAndreCarson,UCprUnnEgM2VUGmAKSaZXCSw,199325935,repandrecarson,repandrecarson,
C001051,TX,Republican,John R. Carter,https://carter.house.gov,JudgeCarter,18030431.0,judgecarter,C001051,JudgeCarter,judgecarter,UC9pkaOrhPfouzkJ8oAdI-1w,18030431,repjohncarter,judgecarter,456560563.0
C001075,LA,Republican,Bill Cassidy,https://www.cassidy.senate.gov,SenBillCassidy,1.0175001853568532e+18,SenBillCassidy,C001075,SenBillCassidy,SenBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,1017500185356853248,SenatorBillCassidy,senbillcassidy,
